cellName,geneSymbol
Microglia (HOM),Tmem119
Microglia (HOM),P2ry12
Microglia (HOM),P2ry13
Microglia (HOM),Csf1r
Microglia (HOM),Hexb
Microglia (HOM),Cst3
Microglia (HOM),Cx3cr1
Microglia (HOM),Siglech
Microglia (HOM),Cd33
Microglia (HOM),Tgfbr1
Microglia (HOM),Sall1
Microglia (HOM),Selplg
Microglia (HOM),Mef2a
Microglia (HOM),Jun
Microglia (HOM),Ms4a6d
Microglia (HOM),Bin1
Microglia (HOM),Serinc3
Microglia (Damage-Associated),Cd9
Microglia (Damage-Associated),Apoe
Microglia (Damage-Associated),Trem2
Microglia (Damage-Associated),Tyrobp
Microglia (Damage-Associated),Clec7a
Microglia (Damage-Associated),Cd63
Microglia (Damage-Associated),Lgals3
Microglia (Damage-Associated),Axl
Microglia (Damage-Associated),Spp1
Microglia (Damage-Associated),Cstb
Microglia (Damage-Associated),Ctsz
Microglia (Damage-Associated),Cstl1
Microglia (Damage-Associated),Ctsd
Microglia (Damage-Associated),Lpl
Microglia (Damage-Associated),Itgax
Microglia (Damage-Associated),B2m
Microglia (Damage-Associated),Cst7
Microglia (Damage-Associated),Csf1
Microglia (Damage-Associated),Gpnmb
Microglia (Damage-Associated),Igf1
Microglia (Damage-Associated),Lilrb4
Microglia (Damage-Associated),Irf8
Microglia (Damage-Associated),Fth1
Microglia (Damage-Associated),Lyz2
Microglia (Damage-Associated),Ccl3
Microglia (Damage-Associated),Ccl6
Microglia (Damage-Associated),Timp2
Microglia (Microglia (IFN)),Irf7
Microglia (IFN),Ifitm3
Microglia (IFN),Ifit2
Microglia (IFN),Ifit3
Microglia (IFN),Cxcl10
Microglia (IFN),Oasl2
Microglia (IFN),Cd69
Microglia (IFN),Isg15
Microglia (IFN),Usp18
Microglia (MHC),H2-D1
Microglia (MHC),H2-K1
Microglia (MHC),H2-Eb1
Microglia (MHC),H2-Aa
Microglia (MHC),H2-Ab1
Microglia (MHC),H2-DMa
Microglia (MHC),Cd74
Microglia (CYCM),Top2a
Microglia (CYCM),Mki67
Microglia (CYCM),Cenpe
Microglia (CYCM),Mcm5
Microglia (CYCM),Birc5
Microglia (CYCM),H2afz
Microglia (CYCM),HZafv
